CPR_nr,F_name,Surname,EmployerID,Country_ID,TIN_value,TIN_type,Start_Date,End_Date,TIN_status
3006835082,Meghan,Smith,11,CH,2321698811893,PTIN,2018-01-13,,Aktiv
2907781430,Steven,Pineda,22,PT,997062962,SSN,2004-06-20,2010-11-27,Inaktiv
2110668377,Bill,Mcfarland,14,PL,5185009345,ATIN,2018-09-17,,Aktiv
0203833361,Candice,Ayala,16,BR,947.985.158-32,SSN,2011-10-19,,Aktiv
0712929730,Abigail,Hartman,37,MT,2688615O,PTIN,2012-12-11,2011-02-17,Inaktiv
2301627257,Nicole,Alvarado,10,SG,S5543987J,SSN,2018-05-12,2006-12-16,Inaktiv
2303807869,Madison,Zavala,28,ZA,5671328227,StateID,2004-03-04,,Aktiv
1812824681,Alan,Caldwell,7,AR,73-99305616-4,SSN,2020-10-20,,Aktiv
0810606021,Amber,Campbell,41,IN,CFCSP8588M,ITIN,2017-03-01,2019-01-03,Inaktiv
1204621028,Luke,Miller,31,BE,26508862468,ITIN,2009-04-03,,Aktiv
2007669852,Cody,Bonilla,31,BE,47198883793,SSN,2016-01-18,,Aktiv
2201658362,Kerri,Ferguson,24,HK,A133613(I),ATIN,2005-01-22,,Aktiv
2505827768,Maria,Johns,29,GR,147907058,ITIN,2021-02-23,2024-01-03,Inaktiv
1911826979,Judith,Graham,17,IE,1207501E,EIN,2014-04-01,,Aktiv
0202850981,Brian,Bauer,37,MT,8193466C,SSN,2009-08-27,,Aktiv
1905017460,Crystal,Hamilton,43,CY,06180919C,ITIN,2023-03-22,,Aktiv
2705058868,Jaclyn,Jones,35,NL,837733572B01,ATIN,2020-05-07,2007-01-13,Inaktiv
1307663418,Sarah,Rodriguez,20,IN,WCYZQ4914B,SSN,2015-04-21,,Aktiv
0302702286,Thomas,Ferguson,37,MT,2684245A,PTIN,2012-05-09,,Aktiv
0604037606,Angela,Peters,8,IL,913025234,ATIN,2006-07-11,,Aktiv
2706888107,David,Smith,14,PL,4472312361,EIN,2010-11-24,2016-02-12,Inaktiv
2903664963,Candice,Medina,6,AR,14-35368222-3,StateID,2005-11-27,,Aktiv
0102620572,Christina,King,41,IN,WJDPJ1290E,EIN,2016-03-26,,Aktiv
1608732672,Kelly,Jones,47,UK,IQ139755P,SSN,2008-09-07,2015-12-19,Inaktiv
1711760771,Jimmy,Mitchell,36,IL,526656677,PTIN,2020-10-28,2016-08-19,Inaktiv
0809891225,Chad,Lee,45,US,498-58-5380,PTIN,2021-09-27,,Aktiv
2206906074,Christina,Torres,8,IL,545004139,EIN,2005-07-10,,Aktiv
0810659296,Breanna,Cunningham,7,AR,55-62053364-5,PTIN,2005-11-27,,Aktiv
2112820023,Dennis,Quinn,19,TR,86740221937,ITIN,2022-05-26,2013-05-10,Inaktiv
2101807901,Natalie,Ford,17,IE,5478129F,ATIN,2012-04-22,2008-08-09,Inaktiv
0506632232,Meagan,Trevino,37,MT,2834110G,PTIN,2018-05-16,,Aktiv
1601784953,Crystal,Hess,12,IS,9693084887,ITIN,2019-06-07,,Aktiv
3107717503,Desiree,Hernandez,40,MT,6394278G,PTIN,2009-11-24,2012-09-02,Inaktiv
0104696669,Christopher,Cox,26,IL,455939049,StateID,2015-09-28,,Aktiv
0207897020,Alex,Allen,48,HK,A928272(l),ATIN,2004-12-07,,Aktiv
1206914733,Ashley,Knight,24,HK,A275037(o),SSN,2020-11-11,,Aktiv
2106003248,Bryan,Wood,20,IN,YEDCC0385P,ITIN,2023-05-16,,Aktiv
2909006996,Mario,Padilla,45,US,534-82-4481,StateID,2011-11-17,,Aktiv
0305638227,Mary,Baker,9,EE,73323810858,ITIN,2014-10-09,,Aktiv
2709889617,Amy,Thompson,13,PT,736785082,SSN,2007-03-16,2024-02-12,Inaktiv
2301807867,Desiree,Diaz,9,EE,12442428958,EIN,2007-05-20,,Aktiv
0812695017,Denise,Houston,4,AU,307053457,PTIN,2022-08-04,,Aktiv
1307041222,Zachary,Bennett,44,NO,40196038989,ITIN,2018-08-04,,Aktiv
0205805392,Rebecca,Black,31,BE,85535075519,ITIN,2006-05-07,2014-02-13,Inaktiv
0706972522,Michael,Parrish,17,IE,7790827K,StateID,2013-11-21,,Aktiv
2606005255,Jerry,Robertson,2,CH,1873538648002,EIN,2024-08-08,,Aktiv
2711905760,Juan,Hernandez,42,UK,ZV259136U,ATIN,2015-08-10,2005-05-17,Inaktiv
0404703180,Daniel,Leonard,50,EE,12930025537,ATIN,2010-11-03,,Aktiv
1809047808,Timothy,Garza,42,UK,LK603029I,EIN,2013-01-22,,Aktiv
0903737779,Crystal,Williams,17,IE,9202428Z,PTIN,2019-04-09,2006-12-07,Inaktiv
0611025069,Carol,Elliott,28,ZA,9141037388,ITIN,2017-02-07,,Aktiv
2501921242,Andrew,Ball,14,PL,7299420031,StateID,2009-04-17,,Aktiv
0506673897,Dorothy,Campbell,38,GR,209856785,SSN,2007-06-04,,Aktiv
0908800371,Christopher,Cole,20,IN,AMJYL7723X,StateID,2012-07-10,2011-06-22,Inaktiv
2311698138,Hunter,Keller,5,TR,97086832438,ITIN,2008-04-23,2008-09-15,Inaktiv
2606047041,Joseph,Ramsey,17,IE,5799136Y,StateID,2023-09-20,2005-08-14,Inaktiv
1201030847,David,Smith,10,SG,S8862912E,PTIN,2010-05-10,,Aktiv
1102617508,Rachel,Greene,4,AU,965207446,ATIN,2018-09-15,,Aktiv
2412709981,Natalie,Schmidt,46,JP,731337659962,EIN,2019-02-07,2015-12-12,Inaktiv
0510995263,Karen,Davis,44,NO,98195586176,ATIN,2011-08-02,2013-01-07,Inaktiv
0109689470,Donna,Winters,33,HU,3397657114,ITIN,2004-04-22,,Aktiv
0410872124,Amber,Smith,9,EE,47541960798,StateID,2017-09-15,2008-07-01,Inaktiv
1110017169,Sharon,Gregory,23,AU,346554947,SSN,2012-01-20,,Aktiv
2511786627,Ryan,Fisher,41,IN,ZEYXY0863W,PTIN,2015-11-21,,Aktiv
